"Time_ms","MsgProc","StateAfter","MsgClass","MsgNumber","Var1","Var2","Var3","Var4","Var5","Var6","Var7","Var8","TimeString","MsgText","PLC"
46216655861.9676,2,1,64,149,,,,,,,,,"7/13/2026 3:44:26 PM","Cutting Unit - Cut startet","HMI_Connection_2"
46216655873.5417,2,1,64,150,,,,,,,,,"7/13/2026 3:44:27 PM","Cutting Unit - Cut finished","HMI_Connection_2"
46216655897.1065,2,0,64,149,,,,,,,,,"7/13/2026 3:44:30 PM","Cutting Unit - Cut startet","HMI_Connection_2"
46216655897.1065,2,0,64,150,,,,,,,,,"7/13/2026 3:44:30 PM","Cutting Unit - Cut finished","HMI_Connection_2"
46216655902.8704,2,0,65,2000,"289","290",,,,,,,"7/13/2026 3:44:30 PM","Layer Nr:289 Next Layer Nr : 290  ","<internal>"
46216655908.7153,2,1,64,37,,,,,,,,,"7/13/2026 3:44:31 PM","Wagon waiting for Feeder","HMI_Connection_2"
46216655908.7153,2,1,64,72,,,,,,,,,"7/13/2026 3:44:31 PM","Unwinder Material Tension","HMI_Connection_2"
46216655931.4236,2,1,64,112,,,,,,,,,"7/13/2026 3:44:32 PM","Lowering Pallet","HMI_Connection_2"
46216655943.0093,2,1,64,36,,,,,,,,,"7/13/2026 3:44:33 PM","Wagon to start position","HMI_Connection_2"
46216655943.0093,2,0,64,72,,,,,,,,,"7/13/2026 3:44:33 PM","Unwinder Material Tension","HMI_Connection_2"
46216655966.5625,2,0,64,112,,,,,,,,,"7/13/2026 3:44:36 PM","Lowering Pallet","HMI_Connection_2"
46216655977.7199,2,1,64,74,"289","2",,,,,,,"7/13/2026 3:44:36 PM","Deployment in Progress - Layer Nr. 289 Matt. No.2","HMI_Connection_2"
46216656000.8681,2,0,64,36,,,,,,,,,"7/13/2026 3:44:38 PM","Wagon to start position","HMI_Connection_2"
46216656000.8681,2,0,64,37,,,,,,,,,"7/13/2026 3:44:38 PM","Wagon waiting for Feeder","HMI_Connection_2"
46216656024.0278,2,0,64,74,"289","2",,,,,,,"7/13/2026 3:44:40 PM","Deployment in Progress - Layer Nr. 289 Matt. No.2","HMI_Connection_2"
46216656116.6204,2,1,64,149,,,,,,,,,"7/13/2026 3:44:48 PM","Cutting Unit - Cut startet","HMI_Connection_2"
46216656140.2083,2,1,64,150,,,,,,,,,"7/13/2026 3:44:51 PM","Cutting Unit - Cut finished","HMI_Connection_2"
46216656163.3681,2,0,64,149,,,,,,,,,"7/13/2026 3:44:53 PM","Cutting Unit - Cut startet","HMI_Connection_2"
46216656163.3681,2,0,64,150,,,,,,,,,"7/13/2026 3:44:53 PM","Cutting Unit - Cut finished","HMI_Connection_2"
46216656164.3403,2,1,65,2000,"289","290",,,,,,,"7/13/2026 3:44:53 PM","Layer Nr:289 Next Layer Nr : 290  ","<internal>"
46216656174.838,2,1,64,37,,,,,,,,,"7/13/2026 3:44:54 PM","Wagon waiting for Feeder","HMI_Connection_2"
46216656174.838,2,1,64,72,,,,,,,,,"7/13/2026 3:44:54 PM","Unwinder Material Tension","HMI_Connection_2"
46216656186.0648,2,1,64,112,,,,,,,,,"7/13/2026 3:44:54 PM","Lowering Pallet","HMI_Connection_2"
46216656198.0903,2,1,64,36,,,,,,,,,"7/13/2026 3:44:56 PM","Wagon to start position","HMI_Connection_2"
46216656198.0903,2,0,64,37,,,,,,,,,"7/13/2026 3:44:56 PM","Wagon waiting for Feeder","HMI_Connection_2"
46216656198.0903,2,0,64,72,,,,,,,,,"7/13/2026 3:44:56 PM","Unwinder Material Tension","HMI_Connection_2"
46216656198.0903,2,1,64,132,,,,,,,,,"7/13/2026 3:44:56 PM","Feeder material to start position","HMI_Connection_2"
46216656232.3727,2,0,64,36,,,,,,,,,"7/13/2026 3:44:58 PM","Wagon to start position","HMI_Connection_2"
46216656232.3727,2,0,64,112,,,,,,,,,"7/13/2026 3:44:58 PM","Lowering Pallet","HMI_Connection_2"
46216656232.3727,2,0,64,132,,,,,,,,,"7/13/2026 3:44:58 PM","Feeder material to start position","HMI_Connection_2"
46216656232.3727,2,1,64,74,"290","1",,,,,,,"7/13/2026 3:44:58 PM","Deployment in Progress - Layer Nr. 290 Matt. No.1","HMI_Connection_2"
46216656255.5093,2,0,64,74,"290","1",,,,,,,"7/13/2026 3:45:00 PM","Deployment in Progress - Layer Nr. 290 Matt. No.1","HMI_Connection_2"
46216656371.2731,2,1,64,149,,,,,,,,,"7/13/2026 3:45:10 PM","Cutting Unit - Cut startet","HMI_Connection_2"
46216656382.8357,2,1,64,150,,,,,,,,,"7/13/2026 3:45:11 PM","Cutting Unit - Cut finished","HMI_Connection_2"
46216656406.4005,2,0,64,149,,,,,,,,,"7/13/2026 3:45:14 PM","Cutting Unit - Cut startet","HMI_Connection_2"
46216656406.4005,2,0,64,150,,,,,,,,,"7/13/2026 3:45:14 PM","Cutting Unit - Cut finished","HMI_Connection_2"
46216656452.6736,2,1,64,125,,,,,,,,,"7/13/2026 3:45:18 PM","EndLayer finished","HMI_Connection_2"
46216656487.0023,2,0,64,125,,,,,,,,,"7/13/2026 3:45:20 PM","EndLayer finished","HMI_Connection_2"
46216658557.7199,2,1,65,1017,,,,,,,,,"7/13/2026 3:48:19 PM",,"<internal>"
46216673146.5972,2,0,65,1017,,,,,,,,,"7/13/2026 4:09:20 PM",,"<internal>"
46216673191.6898,2,0,65,1022,,,,,,,,,"7/13/2026 4:09:24 PM",,"<internal>"
46216673224.0856,2,0,65,1006,,,,,,,,,"7/13/2026 4:09:27 PM","Start","<internal>"
