"Time_ms","MsgProc","StateAfter","MsgClass","MsgNumber","Var1","Var2","Var3","Var4","Var5","Var6","Var7","Var8","TimeString","MsgText","PLC"
46241404314.5486,2,1,64,112,,,,,,,,,"07-Aug-26 09:42:13","Lowering Pallet","Connection_2"
46241404360.8449,2,0,64,36,,,,,,,,,"07-Aug-26 09:42:17","Wagon to start position","Connection_2"
46241404360.8449,2,0,64,112,,,,,,,,,"07-Aug-26 09:42:17","Lowering Pallet","Connection_2"
46241404395.2315,2,1,64,37,,,,,,,,,"07-Aug-26 09:42:20","Wagon waiting for Feeder","Connection_2"
46241404395.2315,2,1,64,74,"13","5","1342","299",,,,,"07-Aug-26 09:42:20","Deployment in Progress - Pallet Nr: 13 Pallet Type: 5 Layer Nr: 1342 Matt Nr: 299","Connection_2"
46241404430.0694,2,0,64,37,,,,,,,,,"07-Aug-26 09:42:23","Wagon waiting for Feeder","Connection_2"
46241404453.3102,2,0,64,74,"13","5","1342","299",,,,,"07-Aug-26 09:42:25","Deployment in Progress - Pallet Nr: 13 Pallet Type: 5 Layer Nr: 1342 Matt Nr: 299","Connection_2"
46241404639.0509,2,1,64,149,,,,,,,,,"07-Aug-26 09:42:41","Cutting","Connection_2"
46241404673.8542,2,1,64,150,,,,,,,,,"07-Aug-26 09:42:44","Cutting completed","Connection_2"
46241404697.0949,2,0,64,149,,,,,,,,,"07-Aug-26 09:42:46","Cutting","Connection_2"
46241404697.0949,2,0,64,150,,,,,,,,,"07-Aug-26 09:42:46","Cutting completed","Connection_2"
46241404731.9329,2,1,64,37,,,,,,,,,"07-Aug-26 09:42:49","Wagon waiting for Feeder","Connection_2"
46241404731.9329,2,1,64,72,,,,,,,,,"07-Aug-26 09:42:49","Unwinder Material Tension","Connection_2"
46241404744.1898,2,1,64,36,,,,,,,,,"07-Aug-26 09:42:50","Wagon to start position","Connection_2"
46241404768.1829,2,0,64,37,,,,,,,,,"07-Aug-26 09:42:52","Wagon waiting for Feeder","Connection_2"
46241404768.1829,2,0,64,72,,,,,,,,,"07-Aug-26 09:42:52","Unwinder Material Tension","Connection_2"
46241404813.8194,2,0,64,36,,,,,,,,,"07-Aug-26 09:42:56","Wagon to start position","Connection_2"
46241404836.4236,2,1,64,37,,,,,,,,,"07-Aug-26 09:42:58","Wagon waiting for Feeder","Connection_2"
46241404836.4236,2,1,64,74,"13","5","1343","298",,,,,"07-Aug-26 09:42:58","Deployment in Progress - Pallet Nr: 13 Pallet Type: 5 Layer Nr: 1343 Matt Nr: 298","Connection_2"
46241404859.6644,2,0,64,37,,,,,,,,,"07-Aug-26 09:43:00","Wagon waiting for Feeder","Connection_2"
46241404859.6644,2,0,64,74,"13","5","1343","298",,,,,"07-Aug-26 09:43:00","Deployment in Progress - Pallet Nr: 13 Pallet Type: 5 Layer Nr: 1343 Matt Nr: 298","Connection_2"
46241405045.4514,2,1,64,149,,,,,,,,,"07-Aug-26 09:43:16","Cutting","Connection_2"
46241405080.8565,2,1,64,150,,,,,,,,,"07-Aug-26 09:43:19","Cutting completed","Connection_2"
46241405103.9699,2,0,64,149,,,,,,,,,"07-Aug-26 09:43:21","Cutting","Connection_2"
46241405103.9699,2,0,64,150,,,,,,,,,"07-Aug-26 09:43:21","Cutting completed","Connection_2"
46241405138.3218,2,1,64,37,,,,,,,,,"07-Aug-26 09:43:24","Wagon waiting for Feeder","Connection_2"
46241405138.3218,2,1,64,72,,,,,,,,,"07-Aug-26 09:43:24","Unwinder Material Tension","Connection_2"
46241405161.5509,2,0,64,37,,,,,,,,,"07-Aug-26 09:43:26","Wagon waiting for Feeder","Connection_2"
46241405161.5509,2,0,64,72,,,,,,,,,"07-Aug-26 09:43:26","Unwinder Material Tension","Connection_2"
46241405161.5509,2,1,64,112,,,,,,,,,"07-Aug-26 09:43:26","Lowering Pallet","Connection_2"
46241405174.3866,2,1,64,36,,,,,,,,,"07-Aug-26 09:43:27","Wagon to start position","Connection_2"
46241405197.3495,2,0,64,112,,,,,,,,,"07-Aug-26 09:43:29","Lowering Pallet","Connection_2"
46241405242.8472,2,0,64,36,,,,,,,,,"07-Aug-26 09:43:33","Wagon to start position","Connection_2"
46241405242.8472,2,1,64,37,,,,,,,,,"07-Aug-26 09:43:33","Wagon waiting for Feeder","Connection_2"
46241405242.8472,2,1,64,74,"13","5","1344","297",,,,,"07-Aug-26 09:43:33","Deployment in Progress - Pallet Nr: 13 Pallet Type: 5 Layer Nr: 1344 Matt Nr: 297","Connection_2"
46241405266.088,2,0,64,37,,,,,,,,,"07-Aug-26 09:43:35","Wagon waiting for Feeder","Connection_2"
46241405266.088,2,0,64,74,"13","5","1344","297",,,,,"07-Aug-26 09:43:35","Deployment in Progress - Pallet Nr: 13 Pallet Type: 5 Layer Nr: 1344 Matt Nr: 297","Connection_2"
46241405486.6898,2,1,64,149,,,,,,,,,"07-Aug-26 09:43:54","Cutting","Connection_2"
46241405522.1296,2,1,64,150,,,,,,,,,"07-Aug-26 09:43:57","Cutting completed","Connection_2"
46241405545.3588,2,0,64,149,,,,,,,,,"07-Aug-26 09:43:59","Cutting","Connection_2"
46241405545.3588,2,0,64,150,,,,,,,,,"07-Aug-26 09:43:59","Cutting completed","Connection_2"
46241405579.5833,2,1,64,37,,,,,,,,,"07-Aug-26 09:44:02","Wagon waiting for Feeder","Connection_2"
46241405579.5833,2,1,64,72,,,,,,,,,"07-Aug-26 09:44:02","Unwinder Material Tension","Connection_2"
46241405592.4074,2,1,64,36,,,,,,,,,"07-Aug-26 09:44:03","Wagon to start position","Connection_2"
46241405615.5556,2,0,64,37,,,,,,,,,"07-Aug-26 09:44:05","Wagon waiting for Feeder","Connection_2"
46241405615.5556,2,0,64,72,,,,,,,,,"07-Aug-26 09:44:05","Unwinder Material Tension","Connection_2"
46241405661.4815,2,0,64,36,,,,,,,,,"07-Aug-26 09:44:09","Wagon to start position","Connection_2"
46241405684.0972,2,1,64,37,,,,,,,,,"07-Aug-26 09:44:11","Wagon waiting for Feeder","Connection_2"
46241405684.0972,2,1,64,74,"13","5","1345","296",,,,,"07-Aug-26 09:44:11","Deployment in Progress - Pallet Nr: 13 Pallet Type: 5 Layer Nr: 1345 Matt Nr: 296","Connection_2"
46241405707.3148,2,0,64,37,,,,,,,,,"07-Aug-26 09:44:13","Wagon waiting for Feeder","Connection_2"
46241405707.3148,2,0,64,74,"13","5","1345","296",,,,,"07-Aug-26 09:44:13","Deployment in Progress - Pallet Nr: 13 Pallet Type: 5 Layer Nr: 1345 Matt Nr: 296","Connection_2"
46241405892.9861,2,1,64,149,,,,,,,,,"07-Aug-26 09:44:29","Cutting","Connection_2"
46241405927.7778,2,1,64,150,,,,,,,,,"07-Aug-26 09:44:32","Cutting completed","Connection_2"
46241405951.0185,2,0,64,149,,,,,,,,,"07-Aug-26 09:44:34","Cutting","Connection_2"
46241405951.0185,2,0,64,150,,,,,,,,,"07-Aug-26 09:44:34","Cutting completed","Connection_2"
46241405985.8449,2,1,64,37,,,,,,,,,"07-Aug-26 09:44:37","Wagon waiting for Feeder","Connection_2"
46241405985.8449,2,1,64,72,,,,,,,,,"07-Aug-26 09:44:37","Unwinder Material Tension","Connection_2"
46241406009.0741,2,0,64,37,,,,,,,,,"07-Aug-26 09:44:39","Wagon waiting for Feeder","Connection_2"
46241406009.0741,2,0,64,72,,,,,,,,,"07-Aug-26 09:44:39","Unwinder Material Tension","Connection_2"
46241406009.0741,2,1,64,112,,,,,,,,,"07-Aug-26 09:44:39","Lowering Pallet","Connection_2"
46241406021.8519,2,1,64,36,,,,,,,,,"07-Aug-26 09:44:40","Wagon to start position","Connection_2"
46241406056.6667,2,0,64,112,,,,,,,,,"07-Aug-26 09:44:43","Lowering Pallet","Connection_2"
46241406090.3009,2,0,64,36,,,,,,,,,"07-Aug-26 09:44:46","Wagon to start position","Connection_2"
46241406090.3009,2,1,64,37,,,,,,,,,"07-Aug-26 09:44:46","Wagon waiting for Feeder","Connection_2"
46241406090.3009,2,1,64,74,"13","5","1346","295",,,,,"07-Aug-26 09:44:46","Deployment in Progress - Pallet Nr: 13 Pallet Type: 5 Layer Nr: 1346 Matt Nr: 295","Connection_2"
46241406125.1389,2,0,64,37,,,,,,,,,"07-Aug-26 09:44:49","Wagon waiting for Feeder","Connection_2"
46241406125.1389,2,0,64,74,"13","5","1346","295",,,,,"07-Aug-26 09:44:49","Deployment in Progress - Pallet Nr: 13 Pallet Type: 5 Layer Nr: 1346 Matt Nr: 295","Connection_2"
46241406345.6713,2,1,64,149,,,,,,,,,"07-Aug-26 09:45:08","Cutting","Connection_2"
46241406368.9005,2,1,64,150,,,,,,,,,"07-Aug-26 09:45:10","Cutting completed","Connection_2"
46241406392.7315,2,0,64,149,,,,,,,,,"07-Aug-26 09:45:12","Cutting","Connection_2"
46241406392.7315,2,0,64,150,,,,,,,,,"07-Aug-26 09:45:12","Cutting completed","Connection_2"
46241406426.956,2,1,64,37,,,,,,,,,"07-Aug-26 09:45:15","Wagon waiting for Feeder","Connection_2"
46241406426.956,2,1,64,72,,,,,,,,,"07-Aug-26 09:45:15","Unwinder Material Tension","Connection_2"
46241406451.4468,2,1,64,36,,,,,,,,,"07-Aug-26 09:45:17","Wagon to start position","Connection_2"
46241406474.5949,2,0,64,37,,,,,,,,,"07-Aug-26 09:45:19","Wagon waiting for Feeder","Connection_2"
46241406474.5949,2,0,64,72,,,,,,,,,"07-Aug-26 09:45:19","Unwinder Material Tension","Connection_2"
46241406520.4167,2,0,64,36,,,,,,,,,"07-Aug-26 09:45:23","Wagon to start position","Connection_2"
46241406543.0556,2,1,64,37,,,,,,,,,"07-Aug-26 09:45:25","Wagon waiting for Feeder","Connection_2"
46241406543.0556,2,1,64,74,"13","5","1347","294",,,,,"07-Aug-26 09:45:25","Deployment in Progress - Pallet Nr: 13 Pallet Type: 5 Layer Nr: 1347 Matt Nr: 294","Connection_2"
46241406566.2732,2,0,64,37,,,,,,,,,"07-Aug-26 09:45:27","Wagon waiting for Feeder","Connection_2"
46241406566.2732,2,0,64,74,"13","5","1347","294",,,,,"07-Aug-26 09:45:27","Deployment in Progress - Pallet Nr: 13 Pallet Type: 5 Layer Nr: 1347 Matt Nr: 294","Connection_2"
46241406752.0486,2,1,64,149,,,,,,,,,"07-Aug-26 09:45:43","Cutting","Connection_2"
46241406786.8866,2,1,64,150,,,,,,,,,"07-Aug-26 09:45:46","Cutting completed","Connection_2"
46241406810.1042,2,0,64,149,,,,,,,,,"07-Aug-26 09:45:48","Cutting","Connection_2"
46241406810.1042,2,0,64,150,,,,,,,,,"07-Aug-26 09:45:48","Cutting completed","Connection_2"
46241406844.8958,2,1,64,37,,,,,,,,,"07-Aug-26 09:45:51","Wagon waiting for Feeder","Connection_2"
46241406844.8958,2,1,64,72,,,,,,,,,"07-Aug-26 09:45:51","Unwinder Material Tension","Connection_2"
46241406868.75,2,1,64,36,,,,,,,,,"07-Aug-26 09:45:53","Wagon to start position","Connection_2"
46241406868.75,2,0,64,37,,,,,,,,,"07-Aug-26 09:45:53","Wagon waiting for Feeder","Connection_2"
46241406868.75,2,0,64,72,,,,,,,,,"07-Aug-26 09:45:53","Unwinder Material Tension","Connection_2"
46241406868.75,2,1,64,112,,,,,,,,,"07-Aug-26 09:45:53","Lowering Pallet","Connection_2"
46241406904.2245,2,0,64,112,,,,,,,,,"07-Aug-26 09:45:57","Lowering Pallet","Connection_2"
46241406949.4213,2,0,64,36,,,,,,,,,"07-Aug-26 09:46:00","Wagon to start position","Connection_2"
46241406949.4213,2,1,64,37,,,,,,,,,"07-Aug-26 09:46:00","Wagon waiting for Feeder","Connection_2"
46241406949.4213,2,1,64,74,"13","5","1348","293",,,,,"07-Aug-26 09:46:00","Deployment in Progress - Pallet Nr: 13 Pallet Type: 5 Layer Nr: 1348 Matt Nr: 293","Connection_2"
46241406972.6505,2,0,64,37,,,,,,,,,"07-Aug-26 09:46:02","Wagon waiting for Feeder","Connection_2"
46241406972.6505,2,0,64,74,"13","5","1348","293",,,,,"07-Aug-26 09:46:02","Deployment in Progress - Pallet Nr: 13 Pallet Type: 5 Layer Nr: 1348 Matt Nr: 293","Connection_2"
46241407204.838,2,1,64,149,,,,,,,,,"07-Aug-26 09:46:22","Cutting","Connection_2"
46241407239.6528,2,1,64,150,,,,,,,,,"07-Aug-26 09:46:26","Cutting completed","Connection_2"
46241407262.8935,2,0,64,149,,,,,,,,,"07-Aug-26 09:46:28","Cutting","Connection_2"
46241407262.8935,2,0,64,150,,,,,,,,,"07-Aug-26 09:46:28","Cutting completed","Connection_2"
46241407297.7083,2,1,64,37,,,,,,,,,"07-Aug-26 09:46:31","Wagon waiting for Feeder","Connection_2"
46241407297.7083,2,1,64,72,,,,,,,,,"07-Aug-26 09:46:31","Unwinder Material Tension","Connection_2"
46241407309.9306,2,1,64,36,,,,,,,,,"07-Aug-26 09:46:32","Wagon to start position","Connection_2"
46241407345.3009,2,0,64,37,,,,,,,,,"07-Aug-26 09:46:35","Wagon waiting for Feeder","Connection_2"
46241407345.3009,2,0,64,72,,,,,,,,,"07-Aug-26 09:46:35","Unwinder Material Tension","Connection_2"
46241407379.5602,2,0,64,36,,,,,,,,,"07-Aug-26 09:46:38","Wagon to start position","Connection_2"
46241407402.1759,2,1,64,37,,,,,,,,,"07-Aug-26 09:46:40","Wagon waiting for Feeder","Connection_2"
46241407402.1759,2,1,64,74,"13","5","1349","292",,,,,"07-Aug-26 09:46:40","Deployment in Progress - Pallet Nr: 13 Pallet Type: 5 Layer Nr: 1349 Matt Nr: 292","Connection_2"
46241407425.3819,2,0,64,37,,,,,,,,,"07-Aug-26 09:46:42","Wagon waiting for Feeder","Connection_2"
46241407425.3819,2,0,64,74,"13","5","1349","292",,,,,"07-Aug-26 09:46:42","Deployment in Progress - Pallet Nr: 13 Pallet Type: 5 Layer Nr: 1349 Matt Nr: 292","Connection_2"
46241407622.7315,2,1,64,149,,,,,,,,,"07-Aug-26 09:46:59","Cutting","Connection_2"
46241407658.1713,2,1,64,150,,,,,,,,,"07-Aug-26 09:47:02","Cutting completed","Connection_2"
46241407681.412,2,0,64,149,,,,,,,,,"07-Aug-26 09:47:04","Cutting","Connection_2"
46241407681.412,2,0,64,150,,,,,,,,,"07-Aug-26 09:47:04","Cutting completed","Connection_2"
46241407704.0162,2,1,64,37,,,,,,,,,"07-Aug-26 09:47:06","Wagon waiting for Feeder","Connection_2"
46241407704.0162,2,1,64,72,,,,,,,,,"07-Aug-26 09:47:06","Unwinder Material Tension","Connection_2"
46241407727.257,2,1,64,112,,,,,,,,,"07-Aug-26 09:47:08","Lowering Pallet","Connection_2"
46241407739.456,2,1,64,36,,,,,,,,,"07-Aug-26 09:47:09","Wagon to start position","Connection_2"
46241407739.456,2,0,64,37,,,,,,,,,"07-Aug-26 09:47:09","Wagon waiting for Feeder","Connection_2"
46241407739.456,2,0,64,72,,,,,,,,,"07-Aug-26 09:47:09","Unwinder Material Tension","Connection_2"
46241407774.838,2,0,64,112,,,,,,,,,"07-Aug-26 09:47:12","Lowering Pallet","Connection_2"
46241407808.5069,2,0,64,36,,,,,,,,,"07-Aug-26 09:47:15","Wagon to start position","Connection_2"
46241407808.5069,2,1,64,37,,,,,,,,,"07-Aug-26 09:47:15","Wagon waiting for Feeder","Connection_2"
46241407820.1273,2,1,64,74,"13","5","1350","291",,,,,"07-Aug-26 09:47:16","Deployment in Progress - Pallet Nr: 13 Pallet Type: 5 Layer Nr: 1350 Matt Nr: 291","Connection_2"
46241407843.3449,2,0,64,37,,,,,,,,,"07-Aug-26 09:47:18","Wagon waiting for Feeder","Connection_2"
46241407843.3449,2,0,64,74,"13","5","1350","291",,,,,"07-Aug-26 09:47:18","Deployment in Progress - Pallet Nr: 13 Pallet Type: 5 Layer Nr: 1350 Matt Nr: 291","Connection_2"
46241408110.3704,2,1,64,149,,,,,,,,,"07-Aug-26 09:47:41","Cutting","Connection_2"
46241408145.8565,2,1,64,150,,,,,,,,,"07-Aug-26 09:47:44","Cutting completed","Connection_2"
46241408169.0046,2,0,64,149,,,,,,,,,"07-Aug-26 09:47:46","Cutting","Connection_2"
46241408169.0046,2,0,64,150,,,,,,,,,"07-Aug-26 09:47:46","Cutting completed","Connection_2"
46241408203.287,2,1,64,37,,,,,,,,,"07-Aug-26 09:47:49","Wagon waiting for Feeder","Connection_2"
46241408203.287,2,1,64,72,,,,,,,,,"07-Aug-26 09:47:49","Unwinder Material Tension","Connection_2"
46241408215.9491,2,1,64,36,,,,,,,,,"07-Aug-26 09:47:50","Wagon to start position","Connection_2"
46241408250.6713,2,0,64,37,,,,,,,,,"07-Aug-26 09:47:53","Wagon waiting for Feeder","Connection_2"
46241408250.6713,2,0,64,72,,,,,,,,,"07-Aug-26 09:47:53","Unwinder Material Tension","Connection_2"
46241408284.9306,2,0,64,36,,,,,,,,,"07-Aug-26 09:47:56","Wagon to start position","Connection_2"
46241408307.7546,2,1,64,37,,,,,,,,,"07-Aug-26 09:47:58","Wagon waiting for Feeder","Connection_2"
46241408307.7546,2,1,64,74,"13","5","1351","290",,,,,"07-Aug-26 09:47:58","Deployment in Progress - Pallet Nr: 13 Pallet Type: 5 Layer Nr: 1351 Matt Nr: 290","Connection_2"
46241408330.9954,2,0,64,37,,,,,,,,,"07-Aug-26 09:48:00","Wagon waiting for Feeder","Connection_2"
46241408330.9954,2,0,64,74,"13","5","1351","290",,,,,"07-Aug-26 09:48:00","Deployment in Progress - Pallet Nr: 13 Pallet Type: 5 Layer Nr: 1351 Matt Nr: 290","Connection_2"
46241408574.8611,2,1,64,149,,,,,,,,,"07-Aug-26 09:48:21","Cutting","Connection_2"
46241408598.0787,2,1,64,150,,,,,,,,,"07-Aug-26 09:48:23","Cutting completed","Connection_2"
46241408633.4606,2,0,64,149,,,,,,,,,"07-Aug-26 09:48:26","Cutting","Connection_2"
46241408633.4606,2,0,64,150,,,,,,,,,"07-Aug-26 09:48:26","Cutting completed","Connection_2"
46241408656.1343,2,1,64,37,,,,,,,,,"07-Aug-26 09:48:28","Wagon waiting for Feeder","Connection_2"
46241408656.1343,2,1,64,72,,,,,,,,,"07-Aug-26 09:48:28","Unwinder Material Tension","Connection_2"
46241408679.3519,2,0,64,37,,,,,,,,,"07-Aug-26 09:48:30","Wagon waiting for Feeder","Connection_2"
46241408679.3519,2,0,64,72,,,,,,,,,"07-Aug-26 09:48:30","Unwinder Material Tension","Connection_2"
46241408679.3519,2,1,64,112,,,,,,,,,"07-Aug-26 09:48:30","Lowering Pallet","Connection_2"
46241408714.1898,2,0,64,112,,,,,,,,,"07-Aug-26 09:48:33","Lowering Pallet","Connection_2"
46241408726.4236,2,1,64,36,,,,,,,,,"07-Aug-26 09:48:34","Wagon to start position","Connection_2"
46241408761.25,2,1,64,37,,,,,,,,,"07-Aug-26 09:48:37","Wagon waiting for Feeder","Connection_2"
46241408772.2454,2,0,64,36,,,,,,,,,"07-Aug-26 09:48:38","Wagon to start position","Connection_2"
46241408772.2454,2,1,64,74,"13","5","1352","289",,,,,"07-Aug-26 09:48:38","Deployment in Progress - Pallet Nr: 13 Pallet Type: 5 Layer Nr: 1352 Matt Nr: 289","Connection_2"
46241408807.0602,2,0,64,37,,,,,,,,,"07-Aug-26 09:48:41","Wagon waiting for Feeder","Connection_2"
46241408830.2894,2,0,64,74,"13","5","1352","289",,,,,"07-Aug-26 09:48:43","Deployment in Progress - Pallet Nr: 13 Pallet Type: 5 Layer Nr: 1352 Matt Nr: 289","Connection_2"
46241408927.8935,2,0,65,1006,,,,,,,,,"07-Aug-26 09:48:51","Start","Connection_1"
46241408974.1782,2,1,65,1003,"1352",,,,,,,,"07-Aug-26 09:48:55","Start Layer - Nr: 1352","Connection_1"
46241409259.9421,2,1,64,149,,,,,,,,,"07-Aug-26 09:49:20","Cutting","Connection_2"
46241409295.2778,2,1,64,150,,,,,,,,,"07-Aug-26 09:49:23","Cutting completed","Connection_2"
46241409318.5648,2,0,64,149,,,,,,,,,"07-Aug-26 09:49:25","Cutting","Connection_2"
46241409318.5648,2,0,64,150,,,,,,,,,"07-Aug-26 09:49:25","Cutting completed","Connection_2"
46241409352.8356,2,1,64,37,,,,,,,,,"07-Aug-26 09:49:28","Wagon waiting for Feeder","Connection_2"
